,Sign,GlossVar,Frequence,Path,SentencePath
19,enrroscar,ENRROSCAR-TAPA_1,1,ABRIR_ORACION_4\ENRROSCAR-TAPA_1_8.mp4,ABRIR_ORACION_4.mp4
20,ix,IX_1,120,ABRIR_ORACION_4\IX_1_3.mp4,ABRIR_ORACION_4.mp4
21,levantar,LEVANTAR-TAPA_1,1,ABRIR_ORACION_4\LEVANTAR-TAPA_1_5.mp4,ABRIR_ORACION_4.mp4
22,mezclar,MEZCLAR_1,2,ABRIR_ORACION_4\MEZCLAR_1_2.mp4,ABRIR_ORACION_4.mp4
23,aburrido,ABURRIDO_1,3,ABURRIDO_ORACION_1\ABURRIDO_1_4.mp4,ABURRIDO_ORACION_1.mp4
24,ir,IR_1,14,ABURRIDO_ORACION_1\IR_1_2.mp4,ABURRIDO_ORACION_1.mp4
25,trabajar,TRABAJAR_1,4,ABURRIDO_ORACION_1\TRABAJAR_1_3.mp4,ABURRIDO_ORACION_1.mp4
26,yo,YO_2,8,ABURRIDO_ORACION_1\YO_2_1.mp4,ABURRIDO_ORACION_1.mp4
27,calor,CALOR_2,1,ABURRIDO_ORACION_2\CALOR_2_4.mp4,ABURRIDO_ORACION_2.mp4
28,fuerte,FUERTE_1,1,ABURRIDO_ORACION_2\FUERTE_1_5.mp4,ABURRIDO_ORACION_2.mp4
29,aburrido,ABURRIDO_2,1,ABURRIDO_ORACION_3\ABURRIDO_2_5.mp4,ABURRIDO_ORACION_3.mp4
30,bailar,BAILAR_1,1,ABURRIDO_ORACION_3\BAILAR_1_3.mp4,ABURRIDO_ORACION_3.mp4
31,aburrido,ABURRIDO_3,1,ABURRIDO_ORACION_4\ABURRIDO_3_4.mp4,ABURRIDO_ORACION_4.mp4
32,ayudar,AYUDAR_1,2,ABURRIDO_ORACION_4\AYUDAR_1_2.mp4,ABURRIDO_ORACION_4.mp4
33,ven,VEN_1,1,ABURRIDO_ORACION_4\VEN_1_1.mp4,ABURRIDO_ORACION_4.mp4
34,acercar él,ACERCARSE_1,2,ACERCARSE_ORACION_1\ACERCARSE_1_1.mp4,ACERCARSE_ORACION_1.mp4
35,hoy,HOY_1,6,ACERCARSE_ORACION_1\HOY_1_2.mp4,ACERCARSE_ORACION_1.mp4
36,juan,JUAN_1,1,ACERCARSE_ORACION_1\JUAN_1_3.mp4,ACERCARSE_ORACION_1.mp4
37,jefe,JEFE_1,1,ACERCARSE_ORACION_2\JEFE_1_4.mp4,ACERCARSE_ORACION_2.mp4
38,querer,QUERER_1,6,ACERCARSE_ORACION_2\QUERER_1_2.mp4,ACERCARSE_ORACION_2.mp4
39,adivina,ADIVINA_1,1,ADIVINA_ORACION_1\ADIVINA_1_5.mp4,ADIVINA_ORACION_1.mp4
40,curiosidad,CURIOSIDAD_1,2,ADIVINA_ORACION_1\CURIOSIDAD_1_4.mp4,ADIVINA_ORACION_1.mp4
41,dinero,DINERO_1,12,ADIVINA_ORACION_1\DINERO_1_2.mp4,ADIVINA_ORACION_1.mp4
42,robar,ROBAR_1,2,ADIVINA_ORACION_1\ROBAR_1_3.mp4,ADIVINA_ORACION_1.mp4
43,saber,SABER_1,1,ADIVINA_ORACION_1\SABER_1_1.mp4,ADIVINA_ORACION_1.mp4
44,ahi,AHI_1,6,AHI_ORACION_1\AHI_1_1.mp4,AHI_ORACION_1.mp4
45,dame,DAME_1,2,AHI_ORACION_1\DAME_1_2.mp4,AHI_ORACION_1.mp4
46,pan,PAN_1,5,AHI_ORACION_1\PAN_1_3.mp4,AHI_ORACION_1.mp4
47,ahora,AHORA_1,3,AHORA_ORACION_1\AHORA_1_1.mp4,AHORA_ORACION_1.mp4
48,cambiar,CAMBIAR-ROPA_1,1,AHORA_ORACION_1\CAMBIAR-ROPA_1_3.mp4,AHORA_ORACION_1.mp4
49,estudiar,ESTUDIAR_1,3,AHORA_ORACION_2\ESTUDIAR_1_2.mp4,AHORA_ORACION_2.mp4
50,alguno,ALGUNOS_1,1,ALGUNOS_ORACION_1\ALGUNOS_1_3.mp4,ALGUNOS_ORACION_1.mp4
51,no,NO-SABER_2,2,ALGUNOS_ORACION_1\NO-SABER_2_2.mp4,ALGUNOS_ORACION_1.mp4
52,problema,PROBLEMA_1,1,ALGUNOS_ORACION_1\PROBLEMA_1_1.mp4,ALGUNOS_ORACION_1.mp4
53,alguno,ALGUNOS_2,1,ALGUNOS_ORACION_2\ALGUNOS_2_5.mp4,ALGUNOS_ORACION_2.mp4
54,libro,LIBRO_1,5,ALGUNOS_ORACION_2\LIBRO_1_3.mp4,ALGUNOS_ORACION_2.mp4
55,alla,ALLA_1,1,ALLA_ORACION_1\ALLA_1_7.mp4,ALLA_ORACION_1.mp4
56,buscar,BUSCAR_1,6,ALLA_ORACION_1\BUSCAR_1_3.mp4,ALLA_ORACION_1.mp4
57,donde,DONDE_1,10,ALLA_ORACION_1\DONDE_1_6.mp4,ALLA_ORACION_1.mp4
58,hijo,HIJO_1,3,ALLA_ORACION_1\HIJO_1_5.mp4,ALLA_ORACION_1.mp4
59,oye,OYE_1,17,ALLA_ORACION_1\OYE_1_2.mp4,ALLA_ORACION_1.mp4
60,alto,ALTO_1,2,ALTO_ORACION_1\ALTO_1_5.mp4,ALTO_ORACION_1.mp4
61,hombre,HOMBRE_1,5,ALTO_ORACION_1\HOMBRE_1_4.mp4,ALTO_ORACION_1.mp4
62,uno,UNO_1,8,ALTO_ORACION_1\UNO_1_3.mp4,ALTO_ORACION_1.mp4
63,uy,UY_1,4,ALTO_ORACION_1\UY_1_6.mp4,ALTO_ORACION_1.mp4
64,amanecer,AMANECER_1,2,AMANECER_ORACION_1\AMANECER_1_5.mp4,AMANECER_ORACION_1.mp4
65,ello,ELLOS_1,1,AMANECER_ORACION_1\ELLOS_1_1.mp4,AMANECER_ORACION_1.mp4
66,señar,SEÑAR_1,6,AMANECER_ORACION_1\SEÑAR_1_2.mp4,AMANECER_ORACION_1.mp4
67,interactuar,INTERACTUAR_1,2,AMANECER_ORACION_2\INTERACTUAR_1_3.mp4,AMANECER_ORACION_2.mp4
68,mucho,MUCHO_1,5,AMANECER_ORACION_2\MUCHO_1_2.mp4,AMANECER_ORACION_2.mp4
69,persona,PERSONA_1,6,AMANECER_ORACION_2\PERSONA_1_1.mp4,AMANECER_ORACION_2.mp4
70,amanecer,AMANECER_2,1,AMANECER_ORACION_3\AMANECER_2_3.mp4,AMANECER_ORACION_3.mp4
71,todo,TODA-LA-NOCHE_1,1,AMANECER_ORACION_3\TODA-LA-NOCHE_1_2.mp4,AMANECER_ORACION_3.mp4
72,carro,CARRO_1,4,AMBULANCIA_ORACION_1\CARRO_1_1.mp4,AMBULANCIA_ORACION_1.mp4
73,sirena,SIRENA_1,1,AMBULANCIA_ORACION_1\SIRENA_1_2.mp4,AMBULANCIA_ORACION_1.mp4
74,via,VIA-DOBLE-SENTIDO_1,6,AMBULANCIA_ORACION_1\VIA-DOBLE-SENTIDO_1_3.mp4,AMBULANCIA_ORACION_1.mp4
75,amigo,AMIGO_1,5,AMIGO_ORACION_1\AMIGO_1_4.mp4,AMIGO_ORACION_1.mp4
76,antes,ANTES_1,2,AMIGO_ORACION_1\ANTES_1_3.mp4,AMIGO_ORACION_1.mp4
77,año,AÑO_1,1,AMIGO_ORACION_1\AÑO_1_5.mp4,AMIGO_ORACION_1.mp4
78,anillo,ANILLO_1,2,ANILLO_ORACION_1\ANILLO_1_4.mp4,ANILLO_ORACION_1.mp4
79,comprar,COMPRAR_1,8,ANILLO_ORACION_1\COMPRAR_1_3.mp4,ANILLO_ORACION_1.mp4
80,anochecer,ANOCHECER_1,2,ANOCHECER_ORACION_1\ANOCHECER_1_3.mp4,ANOCHECER_ORACION_1.mp4
81,tipear,TIPEAR_1,1,ANOCHECER_ORACION_1\TIPEAR_1_2.mp4,ANOCHECER_ORACION_1.mp4
82,avisar,AVISAR_1,1,ANTES_ORACION_1\AVISAR_1_5.mp4,ANTES_ORACION_1.mp4
83,comer,COMER_1,5,ANTES_ORACION_1\COMER_1_2.mp4,ANTES_ORACION_1.mp4
84,falta,FALTA_1,3,ANTES_ORACION_1\FALTA_1_3.mp4,ANTES_ORACION_1.mp4
85,nada,NADA_1,3,ANTES_ORACION_1\NADA_1_6.mp4,ANTES_ORACION_1.mp4
86,atardecer,ATARDECER_1,4,ATARDECER_ORACION_1\ATARDECER_1_5.mp4,ATARDECER_ORACION_1.mp4
87,bonito,BONITO_1,4,ATARDECER_ORACION_1\BONITO_1_3.mp4,ATARDECER_ORACION_1.mp4
88,mar,MAR_1,1,ATARDECER_ORACION_1\MAR_1_4.mp4,ATARDECER_ORACION_1.mp4
89,viaje,VIAJE_1,1,ATARDECER_ORACION_2\VIAJE_1_5.mp4,ATARDECER_ORACION_2.mp4
90,atrapar,ATRAPAR_2,1,ATRAPAR_ORACION_1\ATRAPAR_2_3.mp4,ATRAPAR_ORACION_1.mp4
91,atrapar,ATRAPAR_1,2,ATRAPAR_ORACION_2\ATRAPAR_1_4.mp4,ATRAPAR_ORACION_2.mp4
92,junto,JUNTO_1,1,ATRAPAR_ORACION_2\JUNTO_1_5.mp4,ATRAPAR_ORACION_2.mp4
93,mujer,MUJER_1,4,ATRAPAR_ORACION_2\MUJER_1_6.mp4,ATRAPAR_ORACION_2.mp4
94,no,NO-SABER_1,1,ATRAPAR_ORACION_2\NO-SABER_1_8.mp4,ATRAPAR_ORACION_2.mp4
95,quien,QUIEN_1,3,ATRAPAR_ORACION_2\QUIEN_1_7.mp4,ATRAPAR_ORACION_2.mp4
96,avion,AVION_1,5,AVIONETA_ORACION_1\AVION_1_1.mp4,AVIONETA_ORACION_1.mp4
97,cruzar,CRUZAR-AVION_1,2,AVIONETA_ORACION_1\CRUZAR-AVION_1_3.mp4,AVIONETA_ORACION_1.mp4
98,pequeño,PEQUEÑO_1,2,AVIONETA_ORACION_1\PEQUEÑO_1_2.mp4,AVIONETA_ORACION_1.mp4
99,bajar,BAJAR-ESCALERA_1,1,BAJAR-ESCALERA_ORACION_1\BAJAR-ESCALERA_1_2.mp4,BAJAR-ESCALERA_ORACION_1.mp4
100,caer,CAER-ESCALERA_1,1,BAJAR-ESCALERA_ORACION_1\CAER-ESCALERA_1_3.mp4,BAJAR-ESCALERA_ORACION_1.mp4
101,bote,BOTE_1,6,BARCO_ORACION_1\BOTE_1_1.mp4,BARCO_ORACION_1.mp4
102,cruzar,CRUZAR-BOTE_1,3,BARCO_ORACION_1\CRUZAR-BOTE_1_3.mp4,BARCO_ORACION_1.mp4
103,grande,GRANDE_1,5,BARCO_ORACION_1\GRANDE_1_2.mp4,BARCO_ORACION_1.mp4
104,bastante,BASTANTE_1,1,BASTANTE_ORACION_1\BASTANTE_1_5.mp4,BASTANTE_ORACION_1.mp4
105,persona,PERSONAS-JUNTAS_1,1,BASTANTE_ORACION_1\PERSONAS-JUNTAS_1_3.mp4,BASTANTE_ORACION_1.mp4
106,bicicleta,BICICLETA_1,1,BICICLETA_ORACION_1\BICICLETA_1_1.mp4,BICICLETA_ORACION_1.mp4
107,cruzar,CRUZAR-BICICLETA_1,1,BICICLETA_ORACION_1\CRUZAR-BICICLETA_1_2.mp4,BICICLETA_ORACION_1.mp4
108,bien,BIEN_2,1,BIEN_ORACION_1\BIEN_2_2.mp4,BIEN_ORACION_1.mp4
109,bola,BOLA-DE-CRISTAL_1,1,BOLA-DE-CRISTAL_ORACION_1\BOLA-DE-CRISTAL_1_2.mp4,BOLA-DE-CRISTAL_ORACION_1.mp4
110,decir,DECIR_1,12,BOLA-DE-CRISTAL_ORACION_1\DECIR_1_1.mp4,BOLA-DE-CRISTAL_ORACION_1.mp4
111,desear,DESEAR_1,1,BOLA-DE-CRISTAL_ORACION_1\DESEAR_1_5.mp4,BOLA-DE-CRISTAL_ORACION_1.mp4
112,futuro,FUTURO_1,5,BOLA-DE-CRISTAL_ORACION_1\FUTURO_1_4.mp4,BOLA-DE-CRISTAL_ORACION_1.mp4
113,mi,MI_1,16,BOLA-DE-CRISTAL_ORACION_1\MI_1_3.mp4,BOLA-DE-CRISTAL_ORACION_1.mp4
114,bus,BUS_1,2,BUS_ORACION_1\BUS_1_1.mp4,BUS_ORACION_1.mp4
115,caer,CAER_1,1,CAER_ORACION_1\CAER_1_5.mp4,CAER_ORACION_1.mp4
116,no,NO-CAPTAR_1,1,CAER_ORACION_1\NO-CAPTAR_1_6.mp4,CAER_ORACION_1.mp4
117,tropezar,TROPEZAR_1,1,CAER_ORACION_1\TROPEZAR_1_4.mp4,CAER_ORACION_1.mp4
118,caja,CAJA_1,2,CAJA_ORACION_1\CAJA_1_1.mp4,CAJA_ORACION_1.mp4
119,cargar,CARGAR-CAJA_1,3,CAJA_ORACION_1\CARGAR-CAJA_1_4.mp4,CAJA_ORACION_1.mp4
120,guardar,GUARDAR_1,7,CAJA_ORACION_1\GUARDAR_1_2.mp4,CAJA_ORACION_1.mp4
121,caja,CAJA_2,4,CAJA_ORACION_2\CAJA_2_1.mp4,CAJA_ORACION_2.mp4
122,traer,TRAER-CAJA_1,1,CAJA_ORACION_2\TRAER-CAJA_1_2.mp4,CAJA_ORACION_2.mp4
123,arete,ARETE_1,3,CAJA_ORACION_3\ARETE_1_2.mp4,CAJA_ORACION_3.mp4
124,caja,CAJA_3,1,CAJA_ORACION_3\CAJA_3_1.mp4,CAJA_ORACION_3.mp4
125,guardar,GUARDAR_2,3,CAJA_ORACION_3\GUARDAR_2_3.mp4,CAJA_ORACION_3.mp4
126,helado,HELADO_1,1,CALOR_ORACION_1\HELADO_1_5.mp4,CALOR_ORACION_1.mp4
127,pucha,PUCHA_1,1,CALOR_ORACION_1\PUCHA_1_1.mp4,CALOR_ORACION_1.mp4
128,sol,SOL_1,3,CALOR_ORACION_1\SOL_1_7.mp4,CALOR_ORACION_1.mp4
129,ya,YA_1,19,CALOR_ORACION_1\YA_1_6.mp4,CALOR_ORACION_1.mp4
130,cama,CAMA_1,1,CAMA_ORACION_1\CAMA_1_7.mp4,CAMA_ORACION_1.mp4
131,tiempo,TIEMPO_1,5,CAMA_ORACION_1\TIEMPO_1_2.mp4,CAMA_ORACION_1.mp4
132,cama,CAMA_2,1,CAMA_ORACION_2\CAMA_2_8.mp4,CAMA_ORACION_2.mp4
133,cuatro,CUATRO_1,2,CAMA_ORACION_2\CUATRO_1_6.mp4,CAMA_ORACION_2.mp4
134,echado,ECHADO_1,5,CAMA_ORACION_2\ECHADO_1_10.mp4,CAMA_ORACION_2.mp4
135,necesitar,NECESITAR_1,3,CAMA_ORACION_2\NECESITAR_1_7.mp4,CAMA_ORACION_2.mp4
136,ave,AVE_1,1,CAMINAR_ORACION_1\AVE_1_5.mp4,CAMINAR_ORACION_1.mp4
137,calle,CALLE_1,1,CAMINAR_ORACION_1\CALLE_1_2.mp4,CAMINAR_ORACION_1.mp4
138,caminar,CAMINAR-AVE_1,2,CAMINAR_ORACION_1\CAMINAR-AVE_1_6.mp4,CAMINAR_ORACION_1.mp4
139,pasar,PASAR-AVE_1,1,CAMINAR_ORACION_1\PASAR-AVE_1_9.mp4,CAMINAR_ORACION_1.mp4
140,pato,PATO_1,3,CAMINAR_ORACION_1\PATO_1_7.mp4,CAMINAR_ORACION_1.mp4
141,bueno,BUENO_1,4,CAMINAR_ORACION_3\BUENO_1_3.mp4,CAMINAR_ORACION_3.mp4
142,caminar,CAMINAR-PERSONA_2,2,CAMINAR_ORACION_3\CAMINAR-PERSONA_2_6.mp4,CAMINAR_ORACION_3.mp4
143,lento,LENTO_1,1,CAMINAR_ORACION_3\LENTO_1_5.mp4,CAMINAR_ORACION_3.mp4
144,camioneta,CAMIONETA_1,1,CAMIONETA_ORACION_1\CAMIONETA_1_2.mp4,CAMIONETA_ORACION_1.mp4
145,conducir,CONDUCIR_1,1,CAMIONETA_ORACION_1\CONDUCIR_1_1.mp4,CAMIONETA_ORACION_1.mp4
146,camion,CAMION_1,1,CAMION_ORACION_1\CAMION_1_1.mp4,CAMION_ORACION_1.mp4
147,captar,CAPTAR_1,4,CAPTAR_ORACION_1\CAPTAR_1_2.mp4,CAPTAR_ORACION_1.mp4
148,comer,COMER-MANZANA_1,1,CAPTAR_ORACION_1\COMER-MANZANA_1_3.mp4,CAPTAR_ORACION_1.mp4
149,encontrar él,ENCONTRARSE_1,1,CAPTAR_ORACION_3\ENCONTRARSE_1_3.mp4,CAPTAR_ORACION_3.mp4
150,ya,YA-VER_1,1,CAPTAR_ORACION_3\YA-VER_1_2.mp4,CAPTAR_ORACION_3.mp4
151,dos,DOS_1,4,CAPTAR_ORACION_4\DOS_1_4.mp4,CAPTAR_ORACION_4.mp4
152,entrar,ENTRAR_1,4,CAPTAR_ORACION_4\ENTRAR_1_8.mp4,CAPTAR_ORACION_4.mp4
153,oficina,OFICINA_1,2,CAPTAR_ORACION_4\OFICINA_1_9.mp4,CAPTAR_ORACION_4.mp4
154,cargar,CARGAR-MOCHILA_1,1,CARGAR_ORACION_1\CARGAR-MOCHILA_1_9.mp4,CARGAR_ORACION_1.mp4
155,cerrar,CERRAR-CIERRE_1,1,CARGAR_ORACION_1\CERRAR-CIERRE_1_7.mp4,CARGAR_ORACION_1.mp4
156,levantar,LEVANTAR_1,1,CARGAR_ORACION_1\LEVANTAR_1_8.mp4,CARGAR_ORACION_1.mp4
157,carro,CARRO-BOMBERO_1,1,CARRO-BOMBERO_ORACION_1\CARRO-BOMBERO_1_1.mp4,CARRO-BOMBERO_ORACION_1.mp4
158,manguera,MANGUERA_1,1,CARRO-BOMBERO_ORACION_1\MANGUERA_1_2.mp4,CARRO-BOMBERO_ORACION_1.mp4
159,carta,CARTAS-DE-TAROT_1,1,CARTAS-DE-TAROT_ORACION_1\CARTAS-DE-TAROT_1_3.mp4,CARTAS-DE-TAROT_ORACION_1.mp4
160,vamos,VAMOS_1,5,CARTAS-DE-TAROT_ORACION_1\VAMOS_1_1.mp4,CARTAS-DE-TAROT_ORACION_1.mp4
161,agarrar,AGARRAR-ROPA_1,1,CASACA_ORACION_1\AGARRAR-ROPA_1_3.mp4,CASACA_ORACION_1.mp4
162,caliente,CALIENTE_1,2,CASACA_ORACION_1\CALIENTE_1_10.mp4,CASACA_ORACION_1.mp4
163,casaca,CASACA_1,1,CASACA_ORACION_1\CASACA_1_8.mp4,CASACA_ORACION_1.mp4
164,frio,FRIO_1,2,CASACA_ORACION_1\FRIO_1_9.mp4,CASACA_ORACION_1.mp4
165,poner,PONER_1,1,CASACA_ORACION_1\PONER_1_7.mp4,CASACA_ORACION_1.mp4
166,sostener,SOSTENER_1,4,CASACA_ORACION_1\SOSTENER_1_4.mp4,CASACA_ORACION_1.mp4
167,casar,CASAR_1,1,CASAR_ORACION_1\CASAR_1_8.mp4,CASAR_ORACION_1.mp4
168,firmar,FIRMAR_1,3,CASAR_ORACION_1\FIRMAR_1_5.mp4,CASAR_ORACION_1.mp4
169,sentar,SENTAR_1,1,CASAR_ORACION_1\SENTAR_1_3.mp4,CASAR_ORACION_1.mp4
170,casa,CASA_1,4,CASA_ORACION_1\CASA_1_7.mp4,CASA_ORACION_1.mp4
171,terminar,TERMINAR_1,4,CASA_ORACION_1\TERMINAR_1_2.mp4,CASA_ORACION_1.mp4
172,catorce,CATORCE_1,1,CATORCE_ORACION_1\CATORCE_1_8.mp4,CATORCE_ORACION_1.mp4
173,cumpleaños,CUMPLEAÑOS_1,1,CATORCE_ORACION_1\CUMPLEAÑOS_1_4.mp4,CATORCE_ORACION_1.mp4
174,edad,EDAD_1,2,CATORCE_ORACION_1\EDAD_1_9.mp4,CATORCE_ORACION_1.mp4
175,poco,POCO_1,2,CATORCE_ORACION_1\POCO_1_3.mp4,CATORCE_ORACION_1.mp4
176,catorce,CATORCE_2,1,CATORCE_ORACION_2\CATORCE_2_11.mp4,CATORCE_ORACION_2.mp4
177,clase,CLASE_1,2,CATORCE_ORACION_2\CLASE_1_6.mp4,CATORCE_ORACION_2.mp4
178,ir,IR_2,3,CATORCE_ORACION_2\IR_2_3.mp4,CATORCE_ORACION_2.mp4
179,niño,NIÑO_1,6,CATORCE_ORACION_2\NIÑO_1_10.mp4,CATORCE_ORACION_2.mp4
180,primero,PRIMERO-DE-PRIMARIA_1,1,CATORCE_ORACION_2\PRIMERO-DE-PRIMARIA_1_8.mp4,CATORCE_ORACION_2.mp4
181,catorce,CATORCE_3,1,CATORCE_ORACION_3\CATORCE_3_8.mp4,CATORCE_ORACION_3.mp4
182,colegio,COLEGIO_1,5,CATORCE_ORACION_3\COLEGIO_1_2.mp4,CATORCE_ORACION_3.mp4
183,diez,DIEZ_2,2,CATORCE_ORACION_3\DIEZ_2_4.mp4,CATORCE_ORACION_3.mp4
184,haber,HABER_1,2,CATORCE_ORACION_3\HABER_1_3.mp4,CATORCE_ORACION_3.mp4
185,silla,SILLA_1,4,CATORCE_ORACION_3\SILLA_1_5.mp4,CATORCE_ORACION_3.mp4
186,cerrar,CERRAR-CAJON_1,2,CERRAR-CAJON_ORACION_1\CERRAR-CAJON_1_5.mp4,CERRAR-CAJON_ORACION_1.mp4
187,doblar,DOBLAR_1,1,CERRAR-CAJON_ORACION_1\DOBLAR_1_2.mp4,CERRAR-CAJON_ORACION_1.mp4
188,guardar,GUARDAR_3,3,CERRAR-CAJON_ORACION_1\GUARDAR_3_3.mp4,CERRAR-CAJON_ORACION_1.mp4
189,ropa,ROPA_1,1,CERRAR-CAJON_ORACION_1\ROPA_1_1.mp4,CERRAR-CAJON_ORACION_1.mp4
190,abrir,ABRIR-CAJÓN_1,1,CERRAR-CAJON_ORACION_2\ABRIR-CAJÓN_1_4.mp4,CERRAR-CAJON_ORACION_2.mp4
191,beso,BESO_1,2,CHAU_ORACION_1\BESO_1_8.mp4,CHAU_ORACION_1.mp4
192,chau,CHAU_1,1,CHAU_ORACION_1\CHAU_1_7.mp4,CHAU_ORACION_1.mp4
193,chau,CHAU_2,2,CHAU_ORACION_1\CHAU_2_9.mp4,CHAU_ORACION_1.mp4
194,hora,HORA_1,3,CHAU_ORACION_1\HORA_1_3.mp4,CHAU_ORACION_1.mp4
195,conversar,CONVERSAR_1,4,CHAU_ORACION_2\CONVERSAR_1_2.mp4,CHAU_ORACION_2.mp4
196,chocar,CHOCAR_1,1,CHOCAR_ORACION_1\CHOCAR_1_3.mp4,CHOCAR_ORACION_1.mp4
197,cuidado,CUIDADO_1,1,CHOCAR_ORACION_1\CUIDADO_1_4.mp4,CHOCAR_ORACION_1.mp4
198,cien,CIEN_1,3,CIEN_ORACION_1\CIEN_1_4.mp4,CIEN_ORACION_1.mp4
199,paquete,PAQUETE_1,1,CIEN_ORACION_1\PAQUETE_1_1.mp4,CIEN_ORACION_1.mp4
200,reloj,RELOJ_1,1,CIEN_ORACION_2\RELOJ_1_1.mp4,CIEN_ORACION_2.mp4
201,cincuenta,CINCUENTA_1,1,CINCUENTA_ORACION_1\CINCUENTA_1_5.mp4,CINCUENTA_ORACION_1.mp4
202,poder,PODER_1,1,CINCUENTA_ORACION_1\PODER_1_4.mp4,CINCUENTA_ORACION_1.mp4
203,prestarme,PRESTARME_1,1,CINCUENTA_ORACION_1\PRESTARME_1_2.mp4,CINCUENTA_ORACION_1.mp4
204,ciudad,CIUDAD_1,1,CIUDAD_ORACION_1\CIUDAD_1_4.mp4,CIUDAD_ORACION_1.mp4
205,hermosa,HERMOSA_1,1,CIUDAD_ORACION_1\HERMOSA_1_5.mp4,CIUDAD_ORACION_1.mp4
206,viajar,VIAJAR_2,1,CIUDAD_ORACION_1\VIAJAR_2_2.mp4,CIUDAD_ORACION_1.mp4
207,combi,COMBI_1,1,COMBI_ORACION_1\COMBI_1_1.mp4,COMBI_ORACION_1.mp4
208,huevo,HUEVO_1,4,COMPRAR_ORACION_1\HUEVO_1_4.mp4,COMPRAR_ORACION_1.mp4
209,llevar,LLEVAR_1,2,COMPRAR_ORACION_1\LLEVAR_1_6.mp4,COMPRAR_ORACION_1.mp4
210,comprar,COMPRAR_2,1,COMPRAR_ORACION_2\COMPRAR_2_2.mp4,COMPRAR_ORACION_2.mp4
211,contar,CONTAR-BILLETES_1,2,CONTAR-DINERO_ORACION_1\CONTAR-BILLETES_1_11.mp4,CONTAR-DINERO_ORACION_1.mp4
212,cuanto,CUANTO_1,6,CONTAR-DINERO_ORACION_1\CUANTO_1_5.mp4,CONTAR-DINERO_ORACION_1.mp4
213,pagar,PAGAR_1,1,CONTAR-DINERO_ORACION_1\PAGAR_1_7.mp4,CONTAR-DINERO_ORACION_1.mp4
214,cuanto,CUANTO_2,7,CONTAR-DINERO_ORACION_2\CUANTO_2_5.mp4,CONTAR-DINERO_ORACION_2.mp4
215,dar,DAR_1,3,CONTAR-DINERO_ORACION_2\DAR_1_2.mp4,CONTAR-DINERO_ORACION_2.mp4
216,rollo,ROLLO-DE-MONEDAS_1,2,CONTAR-DINERO_ORACION_2\ROLLO-DE-MONEDAS_1_4.mp4,CONTAR-DINERO_ORACION_2.mp4
217,contar,CONTAR-MANUAL_1,1,CONTAR-NUMEROS_ORACION_2\CONTAR-MANUAL_1_7.mp4,CONTAR-NUMEROS_ORACION_2.mp4
