,Sign,GlossVar,Frequence,Path,SentencePath
23,aburrido,ABURRIDO,5,ABURRIDO_ORACION_1\ABURRIDO_1_4.mp4,ABURRIDO_ORACION_1.mp4
24,ir,IR,21,ABURRIDO_ORACION_1\IR_1_2.mp4,ABURRIDO_ORACION_1.mp4
25,trabajar,TRABAJAR,4,ABURRIDO_ORACION_1\TRABAJAR_1_3.mp4,ABURRIDO_ORACION_1.mp4
26,fuerte,FUERTE,1,ABURRIDO_ORACION_2\FUERTE_1_5.mp4,ABURRIDO_ORACION_2.mp4
27,bailar,BAILAR,1,ABURRIDO_ORACION_3\BAILAR_1_3.mp4,ABURRIDO_ORACION_3.mp4
28,ayudar,AYUDAR,2,ABURRIDO_ORACION_4\AYUDAR_1_2.mp4,ABURRIDO_ORACION_4.mp4
29,ven,VEN,1,ABURRIDO_ORACION_4\VEN_1_1.mp4,ABURRIDO_ORACION_4.mp4
30,acercar él,ACERCARSE,2,ACERCARSE_ORACION_1\ACERCARSE_1_1.mp4,ACERCARSE_ORACION_1.mp4
31,hoy,HOY,7,ACERCARSE_ORACION_1\HOY_1_2.mp4,ACERCARSE_ORACION_1.mp4
32,juan,JUAN,1,ACERCARSE_ORACION_1\JUAN_1_3.mp4,ACERCARSE_ORACION_1.mp4
33,jefe,JEFE,1,ACERCARSE_ORACION_2\JEFE_1_4.mp4,ACERCARSE_ORACION_2.mp4
34,querer,QUERER,6,ACERCARSE_ORACION_2\QUERER_1_2.mp4,ACERCARSE_ORACION_2.mp4
35,adivina,ADIVINA,1,ADIVINA_ORACION_1\ADIVINA_1_5.mp4,ADIVINA_ORACION_1.mp4
36,curiosidad,CURIOSIDAD,2,ADIVINA_ORACION_1\CURIOSIDAD_1_4.mp4,ADIVINA_ORACION_1.mp4
37,dinero,DINERO,12,ADIVINA_ORACION_1\DINERO_1_2.mp4,ADIVINA_ORACION_1.mp4
38,robar,ROBAR,2,ADIVINA_ORACION_1\ROBAR_1_3.mp4,ADIVINA_ORACION_1.mp4
39,saber,SABER,1,ADIVINA_ORACION_1\SABER_1_1.mp4,ADIVINA_ORACION_1.mp4
40,ahi,AHI,6,AHI_ORACION_1\AHI_1_1.mp4,AHI_ORACION_1.mp4
41,dame,DAME,2,AHI_ORACION_1\DAME_1_2.mp4,AHI_ORACION_1.mp4
42,pan,PAN,5,AHI_ORACION_1\PAN_1_3.mp4,AHI_ORACION_1.mp4
43,ahora,AHORA,4,AHORA_ORACION_1\AHORA_1_1.mp4,AHORA_ORACION_1.mp4
44,cambiar,CAMBIAR-ROPA,1,AHORA_ORACION_1\CAMBIAR-ROPA_1_3.mp4,AHORA_ORACION_1.mp4
45,estudiar,ESTUDIAR,3,AHORA_ORACION_2\ESTUDIAR_1_2.mp4,AHORA_ORACION_2.mp4
46,alguno,ALGUNOS,2,ALGUNOS_ORACION_1\ALGUNOS_1_3.mp4,ALGUNOS_ORACION_1.mp4
47,no,NO-SABER,3,ALGUNOS_ORACION_1\NO-SABER_2_2.mp4,ALGUNOS_ORACION_1.mp4
48,problema,PROBLEMA,1,ALGUNOS_ORACION_1\PROBLEMA_1_1.mp4,ALGUNOS_ORACION_1.mp4
49,libro,LIBRO,5,ALGUNOS_ORACION_2\LIBRO_1_3.mp4,ALGUNOS_ORACION_2.mp4
50,alla,ALLA,1,ALLA_ORACION_1\ALLA_1_7.mp4,ALLA_ORACION_1.mp4
51,buscar,BUSCAR,7,ALLA_ORACION_1\BUSCAR_1_3.mp4,ALLA_ORACION_1.mp4
52,donde,DONDE,10,ALLA_ORACION_1\DONDE_1_6.mp4,ALLA_ORACION_1.mp4
53,hijo,HIJO,4,ALLA_ORACION_1\HIJO_1_5.mp4,ALLA_ORACION_1.mp4
54,oye,OYE,17,ALLA_ORACION_1\OYE_1_2.mp4,ALLA_ORACION_1.mp4
55,alto,ALTO,2,ALTO_ORACION_1\ALTO_1_5.mp4,ALTO_ORACION_1.mp4
56,hombre,HOMBRE,6,ALTO_ORACION_1\HOMBRE_1_4.mp4,ALTO_ORACION_1.mp4
57,uno,UNO,8,ALTO_ORACION_1\UNO_1_3.mp4,ALTO_ORACION_1.mp4
58,uy,UY,4,ALTO_ORACION_1\UY_1_6.mp4,ALTO_ORACION_1.mp4
59,amanecer,AMANECER,3,AMANECER_ORACION_1\AMANECER_1_5.mp4,AMANECER_ORACION_1.mp4
60,ellos,ELLOS,1,AMANECER_ORACION_1\ELLOS_1_1.mp4,AMANECER_ORACION_1.mp4
61,señar,SEÑAR,6,AMANECER_ORACION_1\SEÑAR_1_2.mp4,AMANECER_ORACION_1.mp4
62,interactuar,INTERACTUAR,2,AMANECER_ORACION_2\INTERACTUAR_1_3.mp4,AMANECER_ORACION_2.mp4
63,mucho,MUCHO,5,AMANECER_ORACION_2\MUCHO_1_2.mp4,AMANECER_ORACION_2.mp4
64,persona,PERSONA,6,AMANECER_ORACION_2\PERSONA_1_1.mp4,AMANECER_ORACION_2.mp4
65,todo,TODA-LA-NOCHE,1,AMANECER_ORACION_3\TODA-LA-NOCHE_1_2.mp4,AMANECER_ORACION_3.mp4
66,carro,CARRO,4,AMBULANCIA_ORACION_1\CARRO_1_1.mp4,AMBULANCIA_ORACION_1.mp4
67,sirena,SIRENA,1,AMBULANCIA_ORACION_1\SIRENA_1_2.mp4,AMBULANCIA_ORACION_1.mp4
68,via,VIA-DOBLE-SENTIDO,6,AMBULANCIA_ORACION_1\VIA-DOBLE-SENTIDO_1_3.mp4,AMBULANCIA_ORACION_1.mp4
69,amigo,AMIGO,5,AMIGO_ORACION_1\AMIGO_1_4.mp4,AMIGO_ORACION_1.mp4
70,ant,ANTES,2,AMIGO_ORACION_1\ANTES_1_3.mp4,AMIGO_ORACION_1.mp4
71,año,AÑO,1,AMIGO_ORACION_1\AÑO_1_5.mp4,AMIGO_ORACION_1.mp4
72,anillo,ANILLO,2,ANILLO_ORACION_1\ANILLO_1_4.mp4,ANILLO_ORACION_1.mp4
73,comprar,COMPRAR,9,ANILLO_ORACION_1\COMPRAR_1_3.mp4,ANILLO_ORACION_1.mp4
74,anochecer,ANOCHECER,2,ANOCHECER_ORACION_1\ANOCHECER_1_3.mp4,ANOCHECER_ORACION_1.mp4
75,tipear,TIPEAR,1,ANOCHECER_ORACION_1\TIPEAR_1_2.mp4,ANOCHECER_ORACION_1.mp4
76,avisar,AVISAR,1,ANTES_ORACION_1\AVISAR_1_5.mp4,ANTES_ORACION_1.mp4
77,comer,COMER,5,ANTES_ORACION_1\COMER_1_2.mp4,ANTES_ORACION_1.mp4
78,falta,FALTA,3,ANTES_ORACION_1\FALTA_1_3.mp4,ANTES_ORACION_1.mp4
79,nada,NADA,3,ANTES_ORACION_1\NADA_1_6.mp4,ANTES_ORACION_1.mp4
80,atardecer,ATARDECER,4,ATARDECER_ORACION_1\ATARDECER_1_5.mp4,ATARDECER_ORACION_1.mp4
81,bonito,BONITO,4,ATARDECER_ORACION_1\BONITO_1_3.mp4,ATARDECER_ORACION_1.mp4
82,mar,MAR,1,ATARDECER_ORACION_1\MAR_1_4.mp4,ATARDECER_ORACION_1.mp4
83,viaje,VIAJE,1,ATARDECER_ORACION_2\VIAJE_1_5.mp4,ATARDECER_ORACION_2.mp4
84,atrapar,ATRAPAR,3,ATRAPAR_ORACION_1\ATRAPAR_2_3.mp4,ATRAPAR_ORACION_1.mp4
85,junto,JUNTO,1,ATRAPAR_ORACION_2\JUNTO_1_5.mp4,ATRAPAR_ORACION_2.mp4
86,mujer,MUJER,4,ATRAPAR_ORACION_2\MUJER_1_6.mp4,ATRAPAR_ORACION_2.mp4
87,quien,QUIEN,3,ATRAPAR_ORACION_2\QUIEN_1_7.mp4,ATRAPAR_ORACION_2.mp4
88,avion,AVION,5,AVIONETA_ORACION_1\AVION_1_1.mp4,AVIONETA_ORACION_1.mp4
89,cruzar,CRUZAR-AVION,2,AVIONETA_ORACION_1\CRUZAR-AVION_1_3.mp4,AVIONETA_ORACION_1.mp4
90,pequeño,PEQUEÑO,2,AVIONETA_ORACION_1\PEQUEÑO_1_2.mp4,AVIONETA_ORACION_1.mp4
91,bajar,BAJAR-ESCALERA,1,BAJAR-ESCALERA_ORACION_1\BAJAR-ESCALERA_1_2.mp4,BAJAR-ESCALERA_ORACION_1.mp4
92,caer,CAER-ESCALERA,1,BAJAR-ESCALERA_ORACION_1\CAER-ESCALERA_1_3.mp4,BAJAR-ESCALERA_ORACION_1.mp4
93,bote,BOTE,6,BARCO_ORACION_1\BOTE_1_1.mp4,BARCO_ORACION_1.mp4
94,cruzar,CRUZAR-BOTE,3,BARCO_ORACION_1\CRUZAR-BOTE_1_3.mp4,BARCO_ORACION_1.mp4
95,grande,GRANDE,5,BARCO_ORACION_1\GRANDE_1_2.mp4,BARCO_ORACION_1.mp4
96,bastante,BASTANTE,1,BASTANTE_ORACION_1\BASTANTE_1_5.mp4,BASTANTE_ORACION_1.mp4
97,persona,PERSONAS-JUNTAS,1,BASTANTE_ORACION_1\PERSONAS-JUNTAS_1_3.mp4,BASTANTE_ORACION_1.mp4
98,bicicleta,BICICLETA,1,BICICLETA_ORACION_1\BICICLETA_1_1.mp4,BICICLETA_ORACION_1.mp4
99,cruzar,CRUZAR-BICICLETA,1,BICICLETA_ORACION_1\CRUZAR-BICICLETA_1_2.mp4,BICICLETA_ORACION_1.mp4
100,bola,BOLA-DE-CRISTAL,1,BOLA-DE-CRISTAL_ORACION_1\BOLA-DE-CRISTAL_1_2.mp4,BOLA-DE-CRISTAL_ORACION_1.mp4
101,decir,DECIR,12,BOLA-DE-CRISTAL_ORACION_1\DECIR_1_1.mp4,BOLA-DE-CRISTAL_ORACION_1.mp4
102,desear,DESEAR,1,BOLA-DE-CRISTAL_ORACION_1\DESEAR_1_5.mp4,BOLA-DE-CRISTAL_ORACION_1.mp4
103,futuro,FUTURO,5,BOLA-DE-CRISTAL_ORACION_1\FUTURO_1_4.mp4,BOLA-DE-CRISTAL_ORACION_1.mp4
104,mi,MI,17,BOLA-DE-CRISTAL_ORACION_1\MI_1_3.mp4,BOLA-DE-CRISTAL_ORACION_1.mp4
105,bus,BUS,2,BUS_ORACION_1\BUS_1_1.mp4,BUS_ORACION_1.mp4
106,caer,CAER,1,CAER_ORACION_1\CAER_1_5.mp4,CAER_ORACION_1.mp4
107,no,NO-CAPTAR,1,CAER_ORACION_1\NO-CAPTAR_1_6.mp4,CAER_ORACION_1.mp4
108,tropezar,TROPEZAR,1,CAER_ORACION_1\TROPEZAR_1_4.mp4,CAER_ORACION_1.mp4
109,caja,CAJA,7,CAJA_ORACION_1\CAJA_1_1.mp4,CAJA_ORACION_1.mp4
110,cargar,CARGAR-CAJA,3,CAJA_ORACION_1\CARGAR-CAJA_1_4.mp4,CAJA_ORACION_1.mp4
111,guardar,GUARDAR,13,CAJA_ORACION_1\GUARDAR_1_2.mp4,CAJA_ORACION_1.mp4
112,traer,TRAER-CAJA,1,CAJA_ORACION_2\TRAER-CAJA_1_2.mp4,CAJA_ORACION_2.mp4
113,arete,ARETE,3,CAJA_ORACION_3\ARETE_1_2.mp4,CAJA_ORACION_3.mp4
114,helado,HELADO,1,CALOR_ORACION_1\HELADO_1_5.mp4,CALOR_ORACION_1.mp4
115,pucha,PUCHA,1,CALOR_ORACION_1\PUCHA_1_1.mp4,CALOR_ORACION_1.mp4
116,sol,SOL,3,CALOR_ORACION_1\SOL_1_7.mp4,CALOR_ORACION_1.mp4
117,ya,YA,19,CALOR_ORACION_1\YA_1_6.mp4,CALOR_ORACION_1.mp4
118,cama,CAMA,2,CAMA_ORACION_1\CAMA_1_7.mp4,CAMA_ORACION_1.mp4
119,tiempo,TIEMPO,5,CAMA_ORACION_1\TIEMPO_1_2.mp4,CAMA_ORACION_1.mp4
120,cuatro,CUATRO,2,CAMA_ORACION_2\CUATRO_1_6.mp4,CAMA_ORACION_2.mp4
121,echado,ECHADO,5,CAMA_ORACION_2\ECHADO_1_10.mp4,CAMA_ORACION_2.mp4
122,necesitar,NECESITAR,3,CAMA_ORACION_2\NECESITAR_1_7.mp4,CAMA_ORACION_2.mp4
123,ave,AVE,1,CAMINAR_ORACION_1\AVE_1_5.mp4,CAMINAR_ORACION_1.mp4
124,calle,CALLE,1,CAMINAR_ORACION_1\CALLE_1_2.mp4,CAMINAR_ORACION_1.mp4
125,caminar,CAMINAR-AVE,2,CAMINAR_ORACION_1\CAMINAR-AVE_1_6.mp4,CAMINAR_ORACION_1.mp4
126,pasar,PASAR-AVE,1,CAMINAR_ORACION_1\PASAR-AVE_1_9.mp4,CAMINAR_ORACION_1.mp4
127,pato,PATO,3,CAMINAR_ORACION_1\PATO_1_7.mp4,CAMINAR_ORACION_1.mp4
128,bueno,BUENO,5,CAMINAR_ORACION_3\BUENO_1_3.mp4,CAMINAR_ORACION_3.mp4
129,lento,LENTO,1,CAMINAR_ORACION_3\LENTO_1_5.mp4,CAMINAR_ORACION_3.mp4
130,camioneta,CAMIONETA,1,CAMIONETA_ORACION_1\CAMIONETA_1_2.mp4,CAMIONETA_ORACION_1.mp4
131,conducir,CONDUCIR,1,CAMIONETA_ORACION_1\CONDUCIR_1_1.mp4,CAMIONETA_ORACION_1.mp4
132,camion,CAMION,1,CAMION_ORACION_1\CAMION_1_1.mp4,CAMION_ORACION_1.mp4
133,captar,CAPTAR,4,CAPTAR_ORACION_1\CAPTAR_1_2.mp4,CAPTAR_ORACION_1.mp4
134,comer,COMER-MANZANA,1,CAPTAR_ORACION_1\COMER-MANZANA_1_3.mp4,CAPTAR_ORACION_1.mp4
135,encontrar él,ENCONTRARSE,2,CAPTAR_ORACION_3\ENCONTRARSE_1_3.mp4,CAPTAR_ORACION_3.mp4
136,ya,YA-VER,1,CAPTAR_ORACION_3\YA-VER_1_2.mp4,CAPTAR_ORACION_3.mp4
137,dos,DOS,4,CAPTAR_ORACION_4\DOS_1_4.mp4,CAPTAR_ORACION_4.mp4
138,entrar,ENTRAR,5,CAPTAR_ORACION_4\ENTRAR_1_8.mp4,CAPTAR_ORACION_4.mp4
139,oficina,OFICINA,2,CAPTAR_ORACION_4\OFICINA_1_9.mp4,CAPTAR_ORACION_4.mp4
140,cargar,CARGAR-MOCHILA,1,CARGAR_ORACION_1\CARGAR-MOCHILA_1_9.mp4,CARGAR_ORACION_1.mp4
141,cerrar,CERRAR-CIERRE,1,CARGAR_ORACION_1\CERRAR-CIERRE_1_7.mp4,CARGAR_ORACION_1.mp4
142,levantar,LEVANTAR,1,CARGAR_ORACION_1\LEVANTAR_1_8.mp4,CARGAR_ORACION_1.mp4
143,carro,CARRO-BOMBERO,1,CARRO-BOMBERO_ORACION_1\CARRO-BOMBERO_1_1.mp4,CARRO-BOMBERO_ORACION_1.mp4
144,manguera,MANGUERA,1,CARRO-BOMBERO_ORACION_1\MANGUERA_1_2.mp4,CARRO-BOMBERO_ORACION_1.mp4
145,carta,CARTAS-DE-TAROT,1,CARTAS-DE-TAROT_ORACION_1\CARTAS-DE-TAROT_1_3.mp4,CARTAS-DE-TAROT_ORACION_1.mp4
146,vamos,VAMOS,5,CARTAS-DE-TAROT_ORACION_1\VAMOS_1_1.mp4,CARTAS-DE-TAROT_ORACION_1.mp4
147,agarrar,AGARRAR-ROPA,1,CASACA_ORACION_1\AGARRAR-ROPA_1_3.mp4,CASACA_ORACION_1.mp4
148,caliente,CALIENTE,2,CASACA_ORACION_1\CALIENTE_1_10.mp4,CASACA_ORACION_1.mp4
149,casaca,CASACA,1,CASACA_ORACION_1\CASACA_1_8.mp4,CASACA_ORACION_1.mp4
150,frio,FRIO,3,CASACA_ORACION_1\FRIO_1_9.mp4,CASACA_ORACION_1.mp4
151,poner,PONER,1,CASACA_ORACION_1\PONER_1_7.mp4,CASACA_ORACION_1.mp4
152,sostener,SOSTENER,4,CASACA_ORACION_1\SOSTENER_1_4.mp4,CASACA_ORACION_1.mp4
153,casar,CASAR,1,CASAR_ORACION_1\CASAR_1_8.mp4,CASAR_ORACION_1.mp4
154,firmar,FIRMAR,3,CASAR_ORACION_1\FIRMAR_1_5.mp4,CASAR_ORACION_1.mp4
155,sentar,SENTAR,1,CASAR_ORACION_1\SENTAR_1_3.mp4,CASAR_ORACION_1.mp4
156,casa,CASA,4,CASA_ORACION_1\CASA_1_7.mp4,CASA_ORACION_1.mp4
157,terminar,TERMINAR,4,CASA_ORACION_1\TERMINAR_1_2.mp4,CASA_ORACION_1.mp4
158,catorce,CATORCE,3,CATORCE_ORACION_1\CATORCE_1_8.mp4,CATORCE_ORACION_1.mp4
159,cumpleaños,CUMPLEAÑOS,1,CATORCE_ORACION_1\CUMPLEAÑOS_1_4.mp4,CATORCE_ORACION_1.mp4
160,edad,EDAD,2,CATORCE_ORACION_1\EDAD_1_9.mp4,CATORCE_ORACION_1.mp4
161,poco,POCO,2,CATORCE_ORACION_1\POCO_1_3.mp4,CATORCE_ORACION_1.mp4
162,clase,CLASE,2,CATORCE_ORACION_2\CLASE_1_6.mp4,CATORCE_ORACION_2.mp4
163,niño,NIÑO,6,CATORCE_ORACION_2\NIÑO_1_10.mp4,CATORCE_ORACION_2.mp4
164,primero,PRIMERO-DE-PRIMARIA,1,CATORCE_ORACION_2\PRIMERO-DE-PRIMARIA_1_8.mp4,CATORCE_ORACION_2.mp4
165,colegio,COLEGIO,5,CATORCE_ORACION_3\COLEGIO_1_2.mp4,CATORCE_ORACION_3.mp4
166,diez,DIEZ,3,CATORCE_ORACION_3\DIEZ_2_4.mp4,CATORCE_ORACION_3.mp4
167,haber,HABER,2,CATORCE_ORACION_3\HABER_1_3.mp4,CATORCE_ORACION_3.mp4
168,silla,SILLA,4,CATORCE_ORACION_3\SILLA_1_5.mp4,CATORCE_ORACION_3.mp4
169,cerrar,CERRAR-CAJON,2,CERRAR-CAJON_ORACION_1\CERRAR-CAJON_1_5.mp4,CERRAR-CAJON_ORACION_1.mp4
170,doblar,DOBLAR,1,CERRAR-CAJON_ORACION_1\DOBLAR_1_2.mp4,CERRAR-CAJON_ORACION_1.mp4
171,ropa,ROPA,1,CERRAR-CAJON_ORACION_1\ROPA_1_1.mp4,CERRAR-CAJON_ORACION_1.mp4
172,abrir,ABRIR-CAJÓN,1,CERRAR-CAJON_ORACION_2\ABRIR-CAJÓN_1_4.mp4,CERRAR-CAJON_ORACION_2.mp4
173,beso,BESO,2,CHAU_ORACION_1\BESO_1_8.mp4,CHAU_ORACION_1.mp4
174,chau,CHAU,3,CHAU_ORACION_1\CHAU_1_7.mp4,CHAU_ORACION_1.mp4
175,hora,HORA,3,CHAU_ORACION_1\HORA_1_3.mp4,CHAU_ORACION_1.mp4
176,conversar,CONVERSAR,4,CHAU_ORACION_2\CONVERSAR_1_2.mp4,CHAU_ORACION_2.mp4
177,chocar,CHOCAR,1,CHOCAR_ORACION_1\CHOCAR_1_3.mp4,CHOCAR_ORACION_1.mp4
178,cuidado,CUIDADO,1,CHOCAR_ORACION_1\CUIDADO_1_4.mp4,CHOCAR_ORACION_1.mp4
179,cien,CIEN,3,CIEN_ORACION_1\CIEN_1_4.mp4,CIEN_ORACION_1.mp4
180,paquete,PAQUETE,1,CIEN_ORACION_1\PAQUETE_1_1.mp4,CIEN_ORACION_1.mp4
181,reloj,RELOJ,1,CIEN_ORACION_2\RELOJ_1_1.mp4,CIEN_ORACION_2.mp4
182,cincuento,CINCUENTA,1,CINCUENTA_ORACION_1\CINCUENTA_1_5.mp4,CINCUENTA_ORACION_1.mp4
183,poder,PODER,1,CINCUENTA_ORACION_1\PODER_1_4.mp4,CINCUENTA_ORACION_1.mp4
184,prestar yo,PRESTARME,1,CINCUENTA_ORACION_1\PRESTARME_1_2.mp4,CINCUENTA_ORACION_1.mp4
185,ciudad,CIUDAD,1,CIUDAD_ORACION_1\CIUDAD_1_4.mp4,CIUDAD_ORACION_1.mp4
186,hermoso,HERMOSA,1,CIUDAD_ORACION_1\HERMOSA_1_5.mp4,CIUDAD_ORACION_1.mp4
187,viajar,VIAJAR,5,CIUDAD_ORACION_1\VIAJAR_2_2.mp4,CIUDAD_ORACION_1.mp4
188,combi,COMBI,1,COMBI_ORACION_1\COMBI_1_1.mp4,COMBI_ORACION_1.mp4
189,huevo,HUEVO,4,COMPRAR_ORACION_1\HUEVO_1_4.mp4,COMPRAR_ORACION_1.mp4
190,llevar,LLEVAR,2,COMPRAR_ORACION_1\LLEVAR_1_6.mp4,COMPRAR_ORACION_1.mp4
191,contar,CONTAR-BILLETES,2,CONTAR-DINERO_ORACION_1\CONTAR-BILLETES_1_11.mp4,CONTAR-DINERO_ORACION_1.mp4
192,cuanto,CUANTO,15,CONTAR-DINERO_ORACION_1\CUANTO_1_5.mp4,CONTAR-DINERO_ORACION_1.mp4
193,pagar,PAGAR,1,CONTAR-DINERO_ORACION_1\PAGAR_1_7.mp4,CONTAR-DINERO_ORACION_1.mp4
194,dar,DAR,3,CONTAR-DINERO_ORACION_2\DAR_1_2.mp4,CONTAR-DINERO_ORACION_2.mp4
195,rollo,ROLLO-DE-MONEDAS,2,CONTAR-DINERO_ORACION_2\ROLLO-DE-MONEDAS_1_4.mp4,CONTAR-DINERO_ORACION_2.mp4
196,contar,CONTAR-MANUAL,3,CONTAR-NUMEROS_ORACION_2\CONTAR-MANUAL_1_7.mp4,CONTAR-NUMEROS_ORACION_2.mp4
197,eso,ESOS,1,CONTAR-NUMEROS_ORACION_2\ESOS_1_6.mp4,CONTAR-NUMEROS_ORACION_2.mp4
198,contricant,CONTRICANTES,1,CONTAR-NUMEROS_ORACION_3\CONTRICANTES_1_3.mp4,CONTAR-NUMEROS_ORACION_3.mp4
199,entregar,ENTREGAR,1,CONTAR-NUMEROS_ORACION_4\ENTREGAR_1_7.mp4,CONTAR-NUMEROS_ORACION_4.mp4
200,tres,TRES,1,CONTAR-NUMEROS_ORACION_4\TRES_1_6.mp4,CONTAR-NUMEROS_ORACION_4.mp4
201,contar,CONTAR,4,CONTAR_ORACION_1\CONTAR_1_5.mp4,CONTAR_ORACION_1.mp4
202,historia,HISTORIA,2,CONTAR_ORACION_1\HISTORIA_1_2.mp4,CONTAR_ORACION_1.mp4
203,papa,PAPA,3,CONTAR_ORACION_2\PAPA_1_1.mp4,CONTAR_ORACION_2.mp4
204,su,SU,1,CONTAR_ORACION_2\SU_1_5.mp4,CONTAR_ORACION_2.mp4
205,vida,VIDA,1,CONTAR_ORACION_2\VIDA_1_6.mp4,CONTAR_ORACION_2.mp4
206,conyuge,CONYUGE,2,CONYUGE_ORACION_1\CONYUGE_1_5.mp4,CONYUGE_ORACION_1.mp4
207,iglesia,IGLESIA,1,CONYUGE_ORACION_1\IGLESIA_1_4.mp4,CONYUGE_ORACION_1.mp4
208,cornudo,CORNUDO,3,CORNUDO_ORACION_1\CORNUDO_1_6.mp4,CORNUDO_ORACION_1.mp4
209,correr,CORRER,1,CORRER_ORACION_1\CORRER_1_5.mp4,CORRER_ORACION_1.mp4
210,mañana,MAÑANA-DEL-DIA,1,CORRER_ORACION_1\MAÑANA-DEL-DIA_1_2.mp4,CORRER_ORACION_1.mp4
211,mañana,MAÑANA,1,CORRER_ORACION_1\MAÑANA_1_1.mp4,CORRER_ORACION_1.mp4
212,temprano,TEMPRANO,2,CORRER_ORACION_1\TEMPRANO_1_3.mp4,CORRER_ORACION_1.mp4
213,cortina,CORTINA,1,CORTINA_ORACION_1\CORTINA_1_3.mp4,CORTINA_ORACION_1.mp4
214,cortina,CORTINA-ROLLER,1,CORTINA_ORACION_3\CORTINA-ROLLER_1_3.mp4,CORTINA_ORACION_3.mp4
215,cual,CUAL,2,CUAL_ORACION_1\CUAL_1_7.mp4,CUAL_ORACION_1.mp4
216,gustar,GUSTAR,2,CUAL_ORACION_1\GUSTAR_1_4.mp4,CUAL_ORACION_1.mp4
217,zapato,ZAPATO,2,CUAL_ORACION_1\ZAPATO_1_3.mp4,CUAL_ORACION_1.mp4
218,cuando,CUANDO,2,CUANDO_ORACION_1\CUANDO_1_5.mp4,CUANDO_ORACION_1.mp4
219,futbol,FUTBOL,3,CUANDO_ORACION_2\FUTBOL_1_2.mp4,CUANDO_ORACION_2.mp4
220,cuarenta,CUARENTA,2,CUARENTA_ORACION_1\CUARENTA_1_8.mp4,CUARENTA_ORACION_1.mp4
221,polo,POLO,1,CUARENTA_ORACION_1\POLO_1_3.mp4,CUARENTA_ORACION_1.mp4
222,agarrar,AGARRAR-BOTELLA,2,CUARENTA_ORACION_2\AGARRAR-BOTELLA_1_1.mp4,CUARENTA_ORACION_2.mp4
223,colocar,COLOCAR-BOTELLA,1,CUARENTA_ORACION_2\COLOCAR-BOTELLA_1_9.mp4,CUARENTA_ORACION_2.mp4
